Prolific_ID,Option Generated,Generation,Scenario,How Good,How Probable,How Morally Acceptable,How Normal
,Ask relatives to help,2,Scenario 1,92.0,93.0,91.0,93.0
,Buy the medication abroad,3,Scenario 1,84.0,77.0,86.0,85.0
,Change medical insurance,4,Scenario 1,78.0,74.0,90.0,80.0
,Guilt the doctors into providing medication,5,Scenario 1,44.0,64.0,60.0,44.0
,Steal the medication ,6,Scenario 1,31.0,40.0,10.0,26.0
,Ask friends to cover the cost,7,Scenario 1,74.0,70.0,77.0,83.0
,Let her die,8,Scenario 1,5.0,31.0,60.0,14.0
,Call AAA,1,Scenario 2,80.0,91.0,96.0,96.0
,Call an Uber,2,Scenario 2,86.0,81.0,95.0,90.0
,Call a family member or friend to help,3,Scenario 2,90.0,85.0,95.0,95.0
,Hitchhike,4,Scenario 2,75.0,60.0,85.0,75.0
,Try to fix his car by himself,5,Scenario 2,65.0,45.0,90.0,75.0
,Call the airlines and see possible options,6,Scenario 2,85.0,80.0,95.0,90.0
,Reschedule the flight,7,Scenario 2,70.0,80.0,95.0,75.0
,Be stuck and miss his flight ,8,Scenario 2,20.0,60.0,90.0,30.0
,Tell someone above him what happened,2,Scenario 3,88.0,87.0,88.0,88.0
,Blame it on another employee,3,Scenario 3,42.0,67.0,24.0,61.0
,Blame it on a robbery,4,Scenario 3,23.0,34.0,18.0,38.0
,Ask to pay the money back in segments,5,Scenario 3,81.0,72.0,79.0,75.0
,Ask his employees to take the blame,6,Scenario 3,39.0,47.0,35.0,45.0
,Do nothing and risk losing his job,7,Scenario 3,60.0,70.0,68.0,69.0
,Steal more if he will be fired anyways,8,Scenario 3,18.0,31.0,11.0,20.0
,Explain to her teacher what happened,1,Scenario 4,90.0,90.0,100.0,95.0
,Call her mom in front of her teacher to explain,2,Scenario 4,80.0,60.0,95.0,30.0
,Ask for an extension ,3,Scenario 4,90.0,95.0,95.0,90.0
,Say her dog ate her homework,5,Scenario 4,20.0,10.0,30.0,20.0
,Do the assignment quickly for partial credit ,6,Scenario 4,80.0,75.0,90.0,85.0
,Copy her friend,7,Scenario 4,60.0,85.0,30.0,65.0
,Turn in nothing ,8,Scenario 4,20.0,65.0,90.0,80.0
,Tell his friends and start rationing his food,1,Scenario 5,84.0,89.0,92.0,93.0
,Don't drink water or eat to save it for others,2,Scenario 5,35.0,45.0,91.0,66.0
,Use a map to reroute,3,Scenario 5,77.0,61.0,89.0,83.0
,Hunt for food,4,Scenario 5,80.0,31.0,69.0,66.0
,Call the rescue crew and tell them to hurry,6,Scenario 5,92.0,95.0,93.0,96.0
,Play games to distract people,7,Scenario 5,79.0,69.0,89.0,74.0
,Handle it and bear through it,8,Scenario 5,33.0,69.0,83.0,77.0
,Renew her membership,1,Scenario 6,95.0,91.0,98.0,97.0
,Skip her workout,2,Scenario 6,75.0,84.0,93.0,90.0
,Ask the staff for a quick workout,3,Scenario 6,79.0,84.0,88.0,89.0
,Workout anyways ,5,Scenario 6,69.0,58.0,27.0,59.0
,Pretend to be someone who has a membership,6,Scenario 6,39.0,30.0,14.0,46.0
,Bribe the staff members ,7,Scenario 6,35.0,26.0,13.0,23.0
,Sneak in alongside a member,8,Scenario 6,43.0,31.0,18.0,22.0
,Pay in Cash,1,Scenario 7,95.0,81.0,95.0,90.0
,Ask his date to pay for the meal,2,Scenario 7,75.0,90.0,90.0,81.0
,Ask the restaurant if there is a way to pay later,3,Scenario 7,85.0,77.0,90.0,75.0
,Call a friend to borrow money from,4,Scenario 7,85.0,70.0,85.0,81.0
,Ask a stranger for a loan,5,Scenario 7,56.0,18.0,72.0,32.0
,Call the credit card company ,6,Scenario 7,53.0,58.0,73.0,40.0
,Throw a fit,7,Scenario 7,20.0,30.0,24.0,13.0
,Dine and Dash,8,Scenario 7,25.0,20.0,7.0,11.0
,Explain to the professor what happened,1,Scenario 8,92.0,84.0,97.0,84.0
,Ask to take the test another day,2,Scenario 8,92.0,93.0,91.0,93.0
,Take a sick day,3,Scenario 8,79.0,86.0,73.0,84.0
,Cheat off of a classmate,4,Scenario 8,45.0,61.0,21.0,60.0
,Study for as much time as she has left,5,Scenario 8,84.0,73.0,91.0,79.0
,Take the exam without preparation ,6,Scenario 8,28.0,62.0,77.0,67.0
,Go to the nurses office before the exam,7,Scenario 8,61.0,73.0,46.0,60.0
,Bomb the exam on purpose,8,Scenario 8,16.0,11.0,69.0,28.0
6574af22de574dcc620a9b60,Uber,1,Scenario 2,100.0,90.0,100.0,100.0
6574af22de574dcc620a9b60,Taxi,2,Scenario 2,75.0,75.0,100.0,80.0
