Prolific_ID,Option Generated,Generation,Scenario,How Good,How Probable,How Morally Acceptable,How Normal
6574af22de574dcc620a9b60,Uber,1,Scenario 2,100,90,100,100
6574af22de574dcc620a9b60,Taxi,2,Scenario 2,75,75,100,80
6574af22de574dcc620a9b60,Lyft,3,Scenario 2,80,80,100,100
6574af22de574dcc620a9b60,Friend,4,Scenario 2,100,70,80,100
6574af22de574dcc620a9b60,Mom,5,Scenario 2,70,70,100,100
6574af22de574dcc620a9b60,Dad,6,Scenario 2,85,90,100,100
6574af22de574dcc620a9b60,GF,7,Scenario 2,85,92,100,100
6574af22de574dcc620a9b60,Hitchhike ,8,Scenario 2,20,2,50,15
6574af22de574dcc620a9b60,Call Mom,1,Scenario 4,100,100,100,100
6574af22de574dcc620a9b60,Explain Situation,2,Scenario 4,100,100,100,100
6574af22de574dcc620a9b60,Try and turn in at a later date,3,Scenario 4,65,70,76,100
6574af22de574dcc620a9b60,Do nothing,4,Scenario 4,65,70,76,100
6574af22de574dcc620a9b60,Turn in nothing,5,Scenario 4,0,65,3,10
6574af22de574dcc620a9b60,Talk to teacher,6,Scenario 4,100,100,100,100
6574af22de574dcc620a9b60,Find a ride home,7,Scenario 4,72,78,66,85
6574af22de574dcc620a9b60,Find a way to get the paper,8,Scenario 4,100,100,100,100
6574af22de574dcc620a9b60,Workout without membership,1,Scenario 6,50,70,30,30
6574af22de574dcc620a9b60,Renew membership,2,Scenario 6,100,100,100,100
6574af22de574dcc620a9b60,Cancel workout,3,Scenario 6,0,65,100,100
6574af22de574dcc620a9b60,Workout outside,4,Scenario 6,0,65,100,100
6574af22de574dcc620a9b60,Go running,5,Scenario 6,100,50,100,100
6574af22de574dcc620a9b60,Calisthenics,6,Scenario 6,100,70,100,100
6574af22de574dcc620a9b60,Find outside equiptment,7,Scenario 6,60,50,100,75
6574af22de574dcc620a9b60,Workout alternative,8,Scenario 6,100,50,100,100
6574af22de574dcc620a9b60,Explain to his Date,1,Scenario 7,100,90,100,100
6574af22de574dcc620a9b60,Dash and Dine,2,Scenario 7,10,50,0,2
6574af22de574dcc620a9b60,Run away crying,3,Scenario 7,0,0,0,1
6574af22de574dcc620a9b60,Make up an excuse,4,Scenario 7,64,92,62,78
6574af22de574dcc620a9b60,Lie about being robbed,5,Scenario 7,50,50,10,25
6574af22de574dcc620a9b60,Make the date pay,6,Scenario 7,0,3,5,1
6574af22de574dcc620a9b60,Sit there with no emotion,7,Scenario 7,0,5,6,2
6574af22de574dcc620a9b60,Start laughing ,8,Scenario 7,0,1,2,1
63e691a2fd3a3389c644c4c7,Ask family for the money,1,Scenario 1,0,1,2,1
63e691a2fd3a3389c644c4c7,Ask friends for the money,2,Scenario 1,100,84,83,89
63e691a2fd3a3389c644c4c7,Ask colleagues,3,Scenario 1,66,64,50,28
63e691a2fd3a3389c644c4c7,Take a loan,4,Scenario 1,88,77,78,76
63e691a2fd3a3389c644c4c7,Start a fundraiser,5,Scenario 1,80,77,61,93
63e691a2fd3a3389c644c4c7,Ask for billing assistance,6,Scenario 1,100,100,100,91
63e691a2fd3a3389c644c4c7,Take aloan,7,Scenario 1,84,78,77,74
63e691a2fd3a3389c644c4c7,Vote democrat next election,8,Scenario 1,100,80,100,88
63e691a2fd3a3389c644c4c7,Check the tills again,1,Scenario 3,100,80,100,88
63e691a2fd3a3389c644c4c7,Try to find out what is missing exactly,2,Scenario 3,100,100,100,100
63e691a2fd3a3389c644c4c7,Alert his manager to the problem,3,Scenario 3,100,89,100,90
63e691a2fd3a3389c644c4c7,Follow protocols ,4,Scenario 3,100,96,100,89
63e691a2fd3a3389c644c4c7,Keep relevant information for accountability,5,Scenario 3,100,95,100,92
63e691a2fd3a3389c644c4c7,Close up as normal,6,Scenario 3,100,100,100,100
63e691a2fd3a3389c644c4c7,Immediately check in the next day with management,7,Scenario 3,100,100,100,100
63e691a2fd3a3389c644c4c7,Ask the other employees if they remember anything unusual from the previous day,8,Scenario 3,100,100,100,100
63e691a2fd3a3389c644c4c7,Apologise,1,Scenario 7,100,100,100,100
63e691a2fd3a3389c644c4c7,Explain the situation,2,Scenario 7,100,100,100,100
63e691a2fd3a3389c644c4c7,Promise to make amends,3,Scenario 7,100,95,100,76
63e691a2fd3a3389c644c4c7,Repay the neighbor the next day,4,Scenario 7,100,95,100,86
63e691a2fd3a3389c644c4c7,Ask the neighbor how he can make it up to them,5,Scenario 7,100,72,100,52
63e691a2fd3a3389c644c4c7,Be sincere in his efforts to rectify the situation,6,Scenario 7,100,94,100,81
63e691a2fd3a3389c644c4c7,Find out why it declined and fix it,7,Scenario 7,100,100,100,100
63e691a2fd3a3389c644c4c7,Be prepared next time,8,Scenario 7,100,90,100,100
63e691a2fd3a3389c644c4c7,Take the test,1,Scenario 8,80,100,84,95
63e691a2fd3a3389c644c4c7,Cram and hope for the best,2,Scenario 8,100,100,100,100
63e691a2fd3a3389c644c4c7,Ask for an extension,3,Scenario 8,70,60,73,60
63e691a2fd3a3389c644c4c7,Ask for a retake,4,Scenario 8,79,68,78,64
63e691a2fd3a3389c644c4c7,Let this be a lesson in priorities,5,Scenario 8,100,15,94,41
63e691a2fd3a3389c644c4c7,Accept this setback,6,Scenario 8,100,15,74,32
63e691a2fd3a3389c644c4c7,Remember how this felt,7,Scenario 8,100,83,80,71
63e691a2fd3a3389c644c4c7,Focus on her emotional healing ,8,Scenario 8,100,9,91,50
62e5a1374e9ae5284b4625b4,Ask if they could get a small amount until they find a solution,1,Scenario 1,100,9,91,50
62e5a1374e9ae5284b4625b4,Switch insurance,2,Scenario 1,100,25,100,100
62e5a1374e9ae5284b4625b4,Ask friends for money,3,Scenario 1,100,75,100,100
62e5a1374e9ae5284b4625b4,Ask family for money,4,Scenario 1,100,75,100,100
62e5a1374e9ae5284b4625b4,Ask for an advance pay,5,Scenario 1,100,75,100,100
62e5a1374e9ae5284b4625b4,Find programs that may assist,6,Scenario 1,100,75,100,100
62e5a1374e9ae5284b4625b4,Steal the money,7,Scenario 1,0,10,0,25
62e5a1374e9ae5284b4625b4,Steal the medicine,8,Scenario 1,100,10,50,50
62e5a1374e9ae5284b4625b4,Do nothing,1,Scenario 4,0,75,100,100
62e5a1374e9ae5284b4625b4,Ask if she can turn it in tomorrow,2,Scenario 4,100,90,100,100
62e5a1374e9ae5284b4625b4,Say she does not have it but will turn it in tomorrow,3,Scenario 4,100,80,100,100
62e5a1374e9ae5284b4625b4,Call her mom and ask if she can drop it off,4,Scenario 4,100,80,100,100
62e5a1374e9ae5284b4625b4,Steal someone else's ,5,Scenario 4,0,5,0,0
62e5a1374e9ae5284b4625b4,Ask her mom to bring it with her when picking up Mary and Mary can hand it in,6,Scenario 4,100,50,100,100
62e5a1374e9ae5284b4625b4,Ditch class,7,Scenario 4,0,5,100,50
62e5a1374e9ae5284b4625b4,Fake sickness and leave class early before she has to turn it in,8,Scenario 4,0,10,100,50
62e5a1374e9ae5284b4625b4,Renew her membership,1,Scenario 6,100,100,100,100
62e5a1374e9ae5284b4625b4,Walk in and say if she can still enter,2,Scenario 6,100,25,100,100
62e5a1374e9ae5284b4625b4,Walk in and say she will renew later,3,Scenario 6,100,25,100,100
62e5a1374e9ae5284b4625b4,Leave the gym,4,Scenario 6,100,25,100,100
62e5a1374e9ae5284b4625b4,Go eat lunch,5,Scenario 6,100,5,100,100
62e5a1374e9ae5284b4625b4,Skip the day,6,Scenario 6,0,10,100,100
62e5a1374e9ae5284b4625b4,Workout at home,7,Scenario 6,100,25,100,100
62e5a1374e9ae5284b4625b4,See if someone is willing to help her in as a guest,8,Scenario 6,100,10,100,100
62e5a1374e9ae5284b4625b4,Skip the test,1,Scenario 8,0,0,100,10
62e5a1374e9ae5284b4625b4,Fake a reason for why she cannot make it and get an extension,2,Scenario 8,0,0,100,0
62e5a1374e9ae5284b4625b4,Cram as much as possible,3,Scenario 8,100,100,100,100
62e5a1374e9ae5284b4625b4,Cheat,4,Scenario 8,0,0,0,0
62e5a1374e9ae5284b4625b4,Take the test,5,Scenario 8,100,100,100,100
62e5a1374e9ae5284b4625b4,Study what she can,6,Scenario 8,100,100,100,100
62e5a1374e9ae5284b4625b4,Sleep in,7,Scenario 8,100,0,100,100
62e5a1374e9ae5284b4625b4,Ask for help with studying,8,Scenario 8,100,80,100,100
60dc4e2299f89a7ca94b2c91,Call a Tow Truck: Contact a towing service to get his car moved off the highway and request a ride to the nearest transportation hub.,1,Scenario 2,100,100,100,100
60dc4e2299f89a7ca94b2c91,Use a Rideshare App: Use a rideshare app like Uber or Lyft to request a ride directly to the airport.,2,Scenario 2,100,100,100,100
60dc4e2299f89a7ca94b2c91,Call a Taxi Service: Contact a local taxi service to pick him up from his location and take him to the airport.,3,Scenario 2,100,100,100,100
60dc4e2299f89a7ca94b2c91,Contact a Friend or Family Member: Call a friend or family member who might be available to pick him up and take him to the airport.,4,Scenario 2,100,100,100,100
60dc4e2299f89a7ca94b2c91,Check Public Transportation Options: Look up the nearest bus or train routes that could get him to the airport.,5,Scenario 2,100,100,100,100
60dc4e2299f89a7ca94b2c91,"Flag Down a Passing Vehicle: If safe to do so, try to flag down a passing vehicle for assistance or a ride to the airport.",6,Scenario 2,90,90,95,95
60dc4e2299f89a7ca94b2c91,Walk to a Nearby Business: Walk to a nearby business or gas station to seek help or use their phone to arrange transportation.,7,Scenario 2,100,100,100,100
60dc4e2299f89a7ca94b2c91,Contact the Airline: Call the airline to explain the situation and see if there are any options for rescheduling or getting on a later flight if he misses the current one.,8,Scenario 2,100,100,100,100
60dc4e2299f89a7ca94b2c91,"Double-Check Transactions: Review all transactions of the day to ensure there were no errors in recording sales, discounts, or returns.",1,Scenario 3,100,100,100,100
60dc4e2299f89a7ca94b2c91,Count the Cash Again: Recount the cash in the register to ensure there was no mistake in the initial count.,2,Scenario 3,100,100,100,100
60dc4e2299f89a7ca94b2c91,Check for Misplaced Money: Look around the register area to see if any money has fallen or been misplaced.,3,Scenario 3,100,100,100,100
60dc4e2299f89a7ca94b2c91,"Review Security Footage: If available, check the security camera footage to identify any suspicious activities or errors.",4,Scenario 3,100,100,100,100
60dc4e2299f89a7ca94b2c91,Ask Employees: Talk to other employees who worked that day to see if they noticed anything unusual or if they can help account for the discrepancy.,5,Scenario 3,100,100,100,100
60dc4e2299f89a7ca94b2c91,Check Receipts and Records: Verify that all receipts match the recorded sales and that no receipts are missing.,6,Scenario 3,100,100,100,100
60dc4e2299f89a7ca94b2c91,Examine Recent Sales Promotions: Review any recent sales promotions or discounts that could have led to an incorrect calculation or missing amount.,7,Scenario 3,100,100,100,100
60dc4e2299f89a7ca94b2c91,"Report the Issue: If the discrepancy cannot be resolved, report the issue to the bakery owner or higher management immediately and document all efforts made to find the missing money.",8,Scenario 3,100,100,100,100
60dc4e2299f89a7ca94b2c91,Stay Calm: Keep everyone calm to make rational decisions and avoid panic.,1,Scenario 5,100,100,100,100
60dc4e2299f89a7ca94b2c91,"Stay Put: Remain in one place to make it easier for rescuers to find them, unless they are in immediate danger.",2,Scenario 5,100,100,100,100
60dc4e2299f89a7ca94b2c91,"Signal for Help: Use available materials to create visible signals, such as SOS signs with rocks, reflective materials, or a smoky fire.",3,Scenario 5,100,100,100,100
60dc4e2299f89a7ca94b2c91,Ration Food and Water: Carefully ration their remaining food and water to last as long as possible.,4,Scenario 5,100,100,100,100
60dc4e2299f89a7ca94b2c91,"Find Water: Locate a water source, such as a stream or river, and purify the water using tablets, boiling, or a filtration device if available.",5,Scenario 5,100,100,100,100
60dc4e2299f89a7ca94b2c91,Build a Shelter: Construct a shelter using natural materials to protect themselves from the cold and weather.,6,Scenario 5,100,100,100,100
60dc4e2299f89a7ca94b2c91,"Keep Warm: Build a fire for warmth, signaling, and protection against wild animals. Ensure proper ventilation to avoid carbon monoxide poisoning.",7,Scenario 5,100,100,100,100
60dc4e2299f89a7ca94b2c91,"Use Emergency Gear: Utilize any emergency gear they have, such as a compass, map, GPS device, or emergency beacon, to help signal for help or navigate to a safer location.",8,Scenario 5,100,100,100,100
60dc4e2299f89a7ca94b2c91,"Use a Different Payment Method: If Sam has another credit card, debit card, or cash, he can use it to pay the bill.",1,Scenario 7,100,100,100,100
60dc4e2299f89a7ca94b2c91,"Check Mobile Banking: Use a mobile banking app to transfer funds to the account linked to the declined credit card, if possible.",2,Scenario 7,100,100,100,100
