Prolific_ID,Option Generated,Generation,Scenario,How Good,How Probable,How Morally Acceptable,How Normal
,Ask relatives to help,2,Scenario 1,92,93,91,93
,Buy the medication abroad,3,Scenario 1,84,77,86,85
,Change medical insurance,4,Scenario 1,78,74,90,80
,Guilt the doctors into providing medication,5,Scenario 1,44,64,60,44
,Steal the medication ,6,Scenario 1,31,40,10,26
,Ask friends to cover the cost,7,Scenario 1,74,70,77,83
,Let her die,8,Scenario 1,5,31,60,14
,Call AAA,1,Scenario 2,80,91,96,96
,Call an Uber,2,Scenario 2,86,81,95,90
,Call a family member or friend to help,3,Scenario 2,90,85,95,95
,Hitchhike,4,Scenario 2,75,60,85,75
,Try to fix his car by himself,5,Scenario 2,65,45,90,75
,Call the airlines and see possible options,6,Scenario 2,85,80,95,90
,Reschedule the flight,7,Scenario 2,70,80,95,75
,Be stuck and miss his flight ,8,Scenario 2,20,60,90,30
,Tell someone above him what happened,2,Scenario 3,88,87,88,88
,Blame it on another employee,3,Scenario 3,42,67,24,61
,Blame it on a robbery,4,Scenario 3,23,34,18,38
,Ask to pay the money back in segments,5,Scenario 3,81,72,79,75
,Ask his employees to take the blame,6,Scenario 3,39,47,35,45
,Do nothing and risk losing his job,7,Scenario 3,60,70,68,69
,Steal more if he will be fired anyways,8,Scenario 3,18,31,11,20
,Explain to her teacher what happened,1,Scenario 4,90,90,100,95
,Call her mom in front of her teacher to explain,2,Scenario 4,80,60,95,30
,Ask for an extension ,3,Scenario 4,90,95,95,90
,Say her dog ate her homework,5,Scenario 4,20,10,30,20
,Do the assignment quickly for partial credit ,6,Scenario 4,80,75,90,85
,Copy her friend,7,Scenario 4,60,85,30,65
,Turn in nothing ,8,Scenario 4,20,65,90,80
,Tell his friends and start rationing his food,1,Scenario 5,84,89,92,93
,Don't drink water or eat to save it for others,2,Scenario 5,35,45,91,66
,Use a map to reroute,3,Scenario 5,77,61,89,83
,Hunt for food,4,Scenario 5,80,31,69,66
,Call the rescue crew and tell them to hurry,6,Scenario 5,92,95,93,96
,Play games to distract people,7,Scenario 5,79,69,89,74
,Handle it and bear through it,8,Scenario 5,33,69,83,77
,Renew her membership,1,Scenario 6,95,91,98,97
,Skip her workout,2,Scenario 6,75,84,93,90
,Ask the staff for a quick workout,3,Scenario 6,79,84,88,89
,Workout anyways ,5,Scenario 6,69,58,27,59
,Pretend to be someone who has a membership,6,Scenario 6,39,30,14,46
,Bribe the staff members ,7,Scenario 6,35,26,13,23
,Sneak in alongside a member,8,Scenario 6,43,31,18,22
,Pay in Cash,1,Scenario 7,95,81,95,90
,Ask his date to pay for the meal,2,Scenario 7,75,90,90,81
,Ask the restaurant if there is a way to pay later,3,Scenario 7,85,77,90,75
,Call a friend to borrow money from,4,Scenario 7,85,70,85,81
